DWH_SK,DWH_DELTA_DATE,DWH_BATCH_DATETIME,DWH_BATCH_DATE,ID,TITLE,DESCRIPTION,IS_MAIN_CATEGORY,IS_ACTIVE,PARENT_CATEGORY,CREATED_DATE,UPDATED_DATE,GENERATED_DATETIME,GENERATED_DATE,DWH_IS_LATEST,DWH_EFFECTIVE_FROM,DWH_EFFECTIVE_TO
12014181044916769540,2025-10-06 09:00:02,2025-10-06 09:00:02,2025-10-06,12,Automated encompassing strategy,same,true,true,,2025-10-02 13:16:27.814228,2025-10-02 13:16:27.814228,2023-07-19 07:16:16,2023-07-19,1,0001-01-01 00:00:00,3000-01-01 00:00:00
15294422225422187025,2025-10-06 09:00:02,2025-10-06 09:00:02,2025-10-06,14,Proactive interactive structure,law,true,true,,2025-10-02 13:16:27.828119,2025-10-02 13:16:27.828119,2024-07-23 15:05:45,2024-07-23,1,0001-01-01 00:00:00,3000-01-01 00:00:00
10078980567187104330,2025-10-06 09:00:02,2025-10-06 09:00:02,2025-10-06,21,Customer-focused homogeneous infrastructure,public,true,true,,2025-10-02 13:16:27.891346,2025-10-02 13:16:27.891346,2024-03-02 11:54:48,2024-03-02,1,0001-01-01 00:00:00,3000-01-01 00:00:00
16430315563481175630,2025-10-06 09:00:02,2025-10-06 09:00:02,2025-10-06,13,Re-engineered foreground capacity,between,true,true,,2025-10-02 13:16:27.822327,2025-10-02 13:16:27.822327,2023-07-05 16:11:03,2023-07-05,1,0001-01-01 00:00:00,3000-01-01 00:00:00
13566726583881224796,2025-10-06 09:00:02,2025-10-06 09:00:02,2025-10-06,19,Profit-focused zero-defect budgetary management,result,true,true,,2025-10-02 13:16:27.861309,2025-10-02 13:16:27.861309,2025-09-09 12:44:21,2025-09-09,1,0001-01-01 00:00:00,3000-01-01 00:00:00
18195923176096022070,2025-10-06 09:00:02,2025-10-06 09:00:02,2025-10-06,1,Laptops,Laptops Testing,true,true,,2025-09-09 14:07:51.741672,2025-10-03 13:05:30.021644,2025-01-01 10:10:10,2025-01-01,0,0001-01-01 00:00:00,2025-10-06 12:07:00
734902988405821531,2025-10-06 12:07:00,2025-10-06 12:07:00,2025-10-06,1,Laptops,Laptops Testing Again,true,true,,2025-09-09 14:07:51.741672,2025-10-06 09:06:12.461893,2025-01-01 10:10:10,2025-01-01,1,2025-10-06 12:07:00,3000-01-01 00:00:00
17889519384246146894,2025-10-06 09:00:02,2025-10-06 09:00:02,2025-10-06,18,Profit-focused empowering artificial intelligence,significant,true,true,,2025-10-02 13:16:27.861309,2025-10-02 13:16:27.861309,2025-01-23 16:09:37,2025-01-23,1,0001-01-01 00:00:00,3000-01-01 00:00:00
11662095664409812344,2025-10-06 09:00:02,2025-10-06 09:00:02,2025-10-06,15,Synergistic multi-tasking migration,wish,true,true,,2025-10-02 13:16:27.828119,2025-10-02 13:16:27.828119,2024-05-20 03:55:19,2024-05-20,1,0001-01-01 00:00:00,3000-01-01 00:00:00
178738702027454850,2025-10-06 09:00:02,2025-10-06 09:00:02,2025-10-06,20,Focused directional matrix,economy,true,true,,2025-10-02 13:16:27.875892,2025-10-02 13:16:27.875892,2023-06-08 21:35:06,2023-06-08,1,0001-01-01 00:00:00,3000-01-01 00:00:00
10005246044221383071,2025-10-06 09:00:02,2025-10-06 09:00:02,2025-10-06,16,Reverse-engineered secondary portal,project,true,true,,2025-10-02 13:16:27.846258,2025-10-02 13:16:27.846258,2023-12-28 06:32:55,2023-12-28,1,0001-01-01 00:00:00,3000-01-01 00:00:00
919530326792886222,2025-10-06 09:00:02,2025-10-06 09:00:02,2025-10-06,17,Reactive client-server paradigm,expect,true,true,,2025-10-02 13:16:27.846258,2025-10-02 13:16:27.846258,2025-09-18 21:40:51,2025-09-18,1,0001-01-01 00:00:00,3000-01-01 00:00:00
