ID,TITLE,PRICE,SALES_COUNT,AVERAGE_RATING,RATING_COUNT,AVAILABLE_STOCK,UPDATED_DATE,IS_ACTIVE
116,Ergonomic disintermediate matrices,1011.000,194,4.800,282,122,2025-10-02 13:16:44.228939,true
120,Persistent empowering knowledge user,4333.000,181,0.000,818,35,2025-10-02 13:16:44.266105,true
130,Advanced national superstructure,2324.000,843,4.630,407,214,2025-10-02 13:16:44.351897,true
1,Laptop ultra 2000,1450.000,0,0.000,1,190,2025-10-03 14:08:26.145554,true
132,Inverse regional installation,375.000,306,3.920,619,12,2025-10-02 13:16:44.368089,true
115,Reduced well-modulated neural-net,2925.000,986,4.380,581,32,2025-10-02 13:16:44.216481,true
122,Self-enabling object-oriented productivity,3769.000,475,0.280,751,183,2025-10-02 13:16:44.282893,true
133,Business-focused explicit focus group,2928.000,587,1.460,85,101,2025-10-02 13:16:44.374216,true
125,Managed 5thgeneration workforce,430.000,412,2.780,136,194,2025-10-02 13:16:44.311192,true
126,Devolved next generation database,4096.000,384,4.190,49,199,2025-10-02 13:16:44.313378,true
127,Mandatory full-range data-warehouse,1945.000,985,4.000,425,86,2025-10-02 13:16:44.326362,true
131,Persevering optimizing capability,2841.000,534,4.730,393,12,2025-10-02 13:16:44.358238,true
123,Exclusive zero administration structure,1164.000,529,3.210,240,23,2025-10-02 13:16:44.292369,true
124,Extended scalable moderator,3288.000,988,2.280,267,210,2025-10-02 13:16:44.301085,true
129,Implemented motivating array,1884.000,869,1.220,291,106,2025-10-02 13:16:44.342756,true
119,Total needs-based structure,3414.000,188,3.110,605,64,2025-10-02 13:16:44.256726,true
121,Customizable motivating intranet,1581.000,384,2.610,794,3,2025-10-02 13:16:44.274005,true
117,Polarized high-level firmware,3520.000,815,3.660,394,114,2025-10-02 13:16:44.238959,true
118,Persistent mobile moderator,481.000,87,2.170,824,168,2025-10-02 13:16:44.248088,true
128,User-friendly transitional complexity,1642.000,98,3.410,184,206,2025-10-02 13:16:44.326362,true
134,Grass-roots bifurcated methodology,4139.000,286,1.540,795,197,2025-10-02 13:16:44.385613,true
